城市,代码,链接
鞍山,601,//www.zhaopin.com/anshan/
安顺,825,//www.zhaopin.com/anshun/
安阳,723,//www.zhaopin.com/anyang/
安康,862,//www.zhaopin.com/ankang/
安庆,671,//www.zhaopin.com/anqing/
阿坝,819,//www.zhaopin.com/aba/
阿克苏,897,//www.zhaopin.com/akesu/
阿拉尔,10176,//www.zhaopin.com/alaer/
阿拉善盟,598,//www.zhaopin.com/alashan/
阿勒泰,903,//www.zhaopin.com/aletai/
阿里,852,//www.zhaopin.com/ali/
安达,10081,//www.zhaopin.com/anda/
澳门,562,//jobs.zhaopin.com/macao/
阿尔及利亚,918,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=918&sm=0&p=1&sf=0
阿根廷,481,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=481&sm=0&p=1&sf=0
阿联酋,526,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=526&sm=0&p=1&sf=0
埃及,493,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=493&sm=0&p=1&sf=0
爱尔兰,502,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=502&sm=0&p=1&sf=0
安哥拉,913,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=913&sm=0&p=1&sf=0
奥地利,483,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=483&sm=0&p=1&sf=0
澳大利亚,482,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=482&sm=0&p=1&sf=0
北京,530,//www.zhaopin.com/beijing/
包头,588,//www.zhaopin.com/baotou/
宝鸡,856,//www.zhaopin.com/baoji/
保定,570,//www.zhaopin.com/baoding/
滨州,717,//www.zhaopin.com/binzhou/
亳州,678,//www.zhaopin.com/bozhou/
蚌埠,666,//www.zhaopin.com/bengbu/
北海,789,//www.zhaopin.com/beihai/
白银,867,//www.zhaopin.com/baiyin/
白城,620,//www.zhaopin.com/baicheng/
白山,618,//www.zhaopin.com/baishan/
毕节,828,//www.zhaopin.com/bijie/
巴中,817,//www.zhaopin.com/bazhong/
巴彦淖尔,597,//www.zhaopin.com/bayannaoer/
巴音郭楞,896,//www.zhaopin.com/bayinguoleng/
白沙,10194,//jobs.zhaopin.com/baishalizuzizhi/
百色,794,//www.zhaopin.com/baise/
保山,834,//www.zhaopin.com/baoshan/
保亭,10193,//jobs.zhaopin.com/baotinglizumiaozuzizhi/
本溪,603,//www.zhaopin.com/benxi/
博尔塔拉,895,//www.zhaopin.com/boertala/
北屯区,932,//www.zhaopin.com/beitunqu/
巴基斯坦,513,//sou.zhaopin.com/?jl=513&sm=0&p=1&sf=0
巴西,486,sou.zhaopin.com/?jl=486&sm=0&p=1&sf=0
白俄罗斯,484,//sou.zhaopin.com/?jl=484&sm=0&p=1&sf=0
保加利亚,487,//sou.zhaopin.com/?jl=487&sm=0&p=1&sf=0
比利时,485,//sou.zhaopin.com/?jl=485&sm=0&p=1&sf=0
冰岛,499,//sou.zhaopin.com/?jl=499&sm=0&p=1&sf=0
波兰,514,//sou.zhaopin.com/?jl=514&sm=0&p=1&sf=0
重庆,551,//www.zhaopin.com/chongqing/
成都,801,//www.zhaopin.com/chengdu/
长春,613,//www.zhaopin.com/changchun/
长株潭,749,//www.zhaopin.com/changzhutan/
长沙,749,//www.zhaopin.com/changzhutan/
沧州,573,//www.zhaopin.com/cangzhou/
常熟,650,//www.zhaopin.com/changshu/
常德,755,//www.zhaopin.com/changde/
常州,638,//www.zhaopin.com/changzhou/
滁州,673,//www.zhaopin.com/chuzhou/
承德,572,//www.zhaopin.com/chengde/
郴州,758,//www.zhaopin.com/chenzhou/
潮州,781,//www.zhaopin.com/chaozhou/
长治,579,//www.zhaopin.com/changzhi/
赤峰,590,//www.zhaopin.com/chifeng/
池州,679,//www.zhaopin.com/chizhou/
昌都,848,//www.zhaopin.com/changdu/
昌吉,894,//www.zhaopin.com/changji/
昌江,10195,//jobs.zhaopin.com/changjianglizuzizhi/
昌图,10080,//www.zhaopin.com/changtu/
长葛,10137,//jobs.zhaopin.com/xuchang_re3406/
巢湖,676,//jobs.zhaopin.com/chaohu/
朝阳,611,//www.zhaopin.com/chaoyang/
城阳,2159,//www.zhaopin.com/chengyang/
澄迈,10190,//jobs.zhaopin.com/chengmai/
崇左,905,//www.zhaopin.com/chongzuo/
楚雄,836,//www.zhaopin.com/chuxiong/
慈溪,10086,//jobs.zhaopin.com/ningbo_re3370/
大连,600,//www.zhaopin.com/dalian/
东莞,779,//www.zhaopin.com/dongguan/
大庆,627,//www.zhaopin.com/daqing/
丹东,604,//www.zhaopin.com/dandong/
德阳,805,//www.zhaopin.com/deyang/
德州,715,//www.zhaopin.com/dezhou/
东营,706,//www.zhaopin.com/dongying/
大同,577,//www.zhaopin.com/datong/
大理,841,//www.zhaopin.com/dali/
达州,815,//www.zhaopin.com/dazhou/
大兴安岭,634,//www.zhaopin.com/daxinganling/
丹阳,10114,//jobs.zhaopin.com/zhenjiang_re3392/
儋州,10183,//www.zhaopin.com/danzhou/
德宏,842,//www.zhaopin.com/dehong/
德清,10151,//jobs.zhaopin.com/huzhou_re3388/
迪庆,845,//www.zhaopin.com/diqing/
定安,10188,//jobs.zhaopin.com/anding/
定西,874,//www.zhaopin.com/dingxi/
东方,10187,//jobs.zhaopin.com/dongfang/
东阳,10056,//jobs.zhaopin.com/jinhua_re3377/
东港,931,//www.zhaopin.com/donggang/
丹麦,492,//sou.zhaopin.com/?jl=492&sm=0&p=1&sf=0
德国,496,//sou.zhaopin.com/?jl=496&sm=0&p=1&sf=0
鄂尔多斯,592,//www.zhaopin.com/eerduosi/
鄂州,741,//www.zhaopin.com/ezhou/
恩施,748,//www.zhaopin.com/enshi/
峨眉,10065,//www.zhaopin.com/emei/
俄罗斯联邦,516,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=516&sm=0&p=1&sf=0
佛山,768,//www.zhaopin.com/foshan/
福州,681,//www.zhaopin.com/fuzhou/
抚顺,602,//www.zhaopin.com/fushun/
阜阳,674,//www.zhaopin.com/fuyang/
抚州,700,//www.zhaopin.com/fu3zhou/
方家山,10158,//jobs.zhaopin.com/fangjiashan/
防城港,790,//www.zhaopin.com/fangchenggang/
肥城,10099,//jobs.zhaopin.com/taian_re3369/
凤阳,10069,//jobs.zhaopin.com/fengyang/
福安,10020,//jobs.zhaopin.com/ningde_re3401/
阜新,607,//www.zhaopin.com/fuxin/
法国,495,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=495&sm=0&p=1&sf=0
芬兰,494,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=494&sm=0&p=1&sf=0
广州,763,//www.zhaopin.com/guangzhou/
赣州,697,//www.zhaopin.com/ganzhou/
广西,549,//www.zhaopin.com/guangxi/
贵阳,822,//www.zhaopin.com/guiyang/
甘肃,557,//www.zhaopin.com/gansu/
桂林,787,//www.zhaopin.com/guilin/
广元,807,//www.zhaopin.com/guangyuan/
广安,814,//www.zhaopin.com/guangan/
甘南,877,//www.zhaopin.com/gannan/
甘孜,820,//www.zhaopin.com/ganzi/
高邮,10126,//jobs.zhaopin.com/yangzhou_re3396/
公安,10057,//www.zhaopin.com/gongan/
公主岭,10122,//www.zhaopin.com/gongzhuling/
固安,10142,//jobs.zhaopin.com/guan/
固原,889,//www.zhaopin.com/guyuan/
广德,10181,//jobs.zhaopin.com/guangde/
贵港,792,//www.zhaopin.com/guigang/
果洛,883,//www.zhaopin.com/guoluo/
哈尔滨,622,//www.zhaopin.com/haerbin/
海口,799,//www.zhaopin.com/haikou/
邯郸,568,//www.zhaopin.com/handan/
杭州,653,//www.zhaopin.com/hangzhou/
合肥,664,//www.zhaopin.com/hefei/
衡阳,752,//www.zhaopin.com/hengyang/
衡水,575,//www.zhaopin.com/hengshui/
呼和浩特,587,//www.zhaopin.com/huhehaote/
湖州,657,//www.zhaopin.com/huzhou/
淮安,643,//www.zhaopin.com/huaian/
菏泽,718,//www.zhaopin.com/heze/
淮北,669,//www.zhaopin.com/huaibei/
汉中,860,//www.zhaopin.com/hanzhong/
呼伦贝尔,593,//www.zhaopin.com/hulunbeier/
葫芦岛,612,//www.zhaopin.com/huludao/
惠州,773,//www.zhaopin.com/huizhou/
珲春,10198,//www.zhaopin.com/hunchun/
鹤壁,724,//www.zhaopin.com/hebi/
淮南,667,//www.zhaopin.com/huainan/
黄冈,745,//www.zhaopin.com/huanggang/
怀化,760,//www.zhaopin.com/huaihua/
黄石,737,//www.zhaopin.com/huangshi/
黄山,672,//www.zhaopin.com/huangshan/
河源,776,//www.zhaopin.com/heyuan/
黑河,632,//www.zhaopin.com/heihe/
哈密,893,//www.zhaopin.com/hami/
海北,880,//www.zhaopin.com/haibei/
海城,10070,//www.zhaopin.com/haicheng/
海东,879,//www.zhaopin.com/haidong/
海南州,882,//www.zhaopin.com/hainan/
海宁,10133,//jobs.zhaopin.com/jiaxing_re3382/
海西,885,//www.zhaopin.com/haixi/
海阳,2556,//www.zhaopin.com/haiyang/
和顺,10082,//jobs.zhaopin.com/heshun/
和田,900,//www.zhaopin.com/hetian/
河池,796,//www.zhaopin.com/hechi/
贺州,795,//www.zhaopin.com/hezhou/
鹤岗,625,//www.zhaopin.com/hegang/
鹤山,10138,//jobs.zhaopin.com/jiangmen_re3214/
红河,837,//www.zhaopin.com/honghe/
黄岛,2157,//www.zhaopin.com/huangdao/
黄南,881,//www.zhaopin.com/huangnan/
韩国,506,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=506&sm=0&p=1&sf=0
荷兰,509,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=509&sm=0&p=1&sf=0
济南,702,//www.zhaopin.com/jinan/
吉林,614,//www.zhaopin.com/jilin/
济宁,709,//www.zhaopin.com/jining/
嘉兴,656,//www.zhaopin.com/jiaxing/
江门,769,//www.zhaopin.com/jiangmen/
江阴,2512,//www.zhaopin.com/jiangyin/
金华,659,//www.zhaopin.com/jinhua/
荆州,744,//www.zhaopin.com/jingzhou/
九江,694,//www.zhaopin.com/jiujiang/
焦作,726,//www.zhaopin.com/jiaozuo/
揭阳,782,//www.zhaopin.com/jieyang/
佳木斯,629,//www.zhaopin.com/jiamusi/
锦州,605,//www.zhaopin.com/jinzhou/
晋中,582,//www.zhaopin.com/jinzhong/
晋城,580,//www.zhaopin.com/jincheng/
吉安,698,//www.zhaopin.com/jian/
景德镇,692,//www.zhaopin.com/jingdezhen/
济源,10044,//www.zhaopin.com/jiyuan/
吉首市,404001,//www.zhaopin.com/jishoushi/
鸡西,624,//www.zhaopin.com/jixi/
即墨,2161,//www.zhaopin.com/jimo/
嘉善,10067,//jobs.zhaopin.com/jiaxing_re3380/
嘉峪关,865,//www.zhaopin.com/jiayuguan/
简阳,10201,//www.zhaopin.com/jianyang/
胶南,2163,//www.zhaopin.com/jiaonan/
胶州,2160,//www.zhaopin.com/jiaozhou/
金昌,866,//www.zhaopin.com/jinchang/
金湖,10175,//jobs.zhaopin.com/huaian_re3086/
晋江,10148,//jobs.zhaopin.com/quanzhou_re3101/
荆门,742,//www.zhaopin.com/jingmen/
靖江,649,//jobs.zhaopin.com/tai4zhou_re3390/
酒泉,872,//www.zhaopin.com/jiuquan/
句容,10028,//jobs.zhaopin.com/zhenjiang_re3391/
加拿大,488,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=488&sm=0&p=1&sf=0
加纳,914,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=914&sm=0&p=1&sf=0
捷克,491,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=491&sm=0&p=1&sf=0
柬埔寨,930,//sou.zhaopin.com/jobs/searchresult.ashx?jl=柬埔寨&sm=0&p=1
开封,720,//www.zhaopin.com/kaifeng/
昆明,831,//www.zhaopin.com/kunming/
昆山,640,//www.zhaopin.com/kunshan/
开平,10118,//www.zhaopin.com/kaiping/
喀什,899,//www.zhaopin.com/keshen/
开原,10144,//www.zhaopin.com/kaiyuan/
克拉玛依,891,//www.zhaopin.com/kelamayi/
克孜勒苏,898,//www.zhaopin.com/kezilesukeerkezi/
奎屯市,10164,//www.zhaopin.com/kuitunshi/
科威特,507,//sou.zhaopin.com/Jobs/searchresult.ashx?jl=507&sm=0&p=1&sf=0
兰州,864,//www.zhaopin.com/lanzhou/
廊坊,574,//www.zhaopin.com/langfang/
连云港,642,//www.zhaopin.com/lianyungang/
聊城,716,//www.zhaopin.com/liaocheng/
临沂,714,//www.zhaopin.com/linyi/
柳州,786,//www.zhaopin.com/liuzhou/
洛阳,721,//www.zhaopin.com/luoyang/
漯河,729,//www.zhaopin.com/luohe/
拉萨,847,//www.zhaopin.com/lasa/
六盘水,823,//www.zhaopin.com/liupanshui/
莱芜,713,//www.zhaopin.com/laiwu/
乐山,810,//www.zhaopin.com/leshan/
辽阳,608,//www.zhaopin.com/liaoyang/
临汾,585,//www.zhaopin.com/linfen/
龙岩,689,//www.zhaopin.com/longyan/
丽水,663,//www.zhaopin.com/lishui/
六安,677,//www.zhaopin.com/liuan/
吕梁,586,//www.zhaopin.com/lvliang/
辽源,616,//www.zhaopin.com/liaoyuan/
娄底,761,//www.zhaopin.com/loudi/
泸州,804,//www.zhaopin.com/luzhou/
来宾,904,//www.zhaopin.com/laibin/
莱西,2164,//www.zhaopin.com/laixi/
乐东,10196,//jobs.zhaopin.com/ledonglizuzizhi/
乐清,10089,//jobs.zhaopin.com/wenzhou_re3383/
丽江,843,//www.zhaopin.com/lijiang/
溧阳,10150,//jobs.zhaopin.com/changzhou_re3042/
凉山,821,//www.zhaopin.com/liangshan/
林芝,853,//www.zhaopin.com/linzhi/
临沧,846,//www.zhaopin.com/lincang/
临高,10191,//jobs.zhaopin.com/lingao/
临夏,876,//www.zhaopin.com/linxia/
陵水,10197,//jobs.zhaopin.com/lingshuilizuzizhi/
龙川,10120,//jobs.zhaopin.com/heyuan_re3405/
龙泉,10180,//jobs.zhaopin.com/lishui_re3389/
陇南,875,//www.zhaopin.com/longnan/
马鞍山,668,//www.zhaopin.com/maanshan/
绵阳,806,//www.zhaopin.com/mianyang/
牡丹江,631,//www.zhaopin.com/mudanjiang/
梅州,774,//www.zhaopin.com/meizhou/
茂名,771,//www.zhaopin.com/maoming/
蒙自市,,//www.zhaopin.com/mengzishi/
